ds,color,size,y_true,y_pred
2024-01-01,Kırmızı,M,5,9.241328127193125
2024-01-02,Kırmızı,M,6,8.500829392695996
2024-01-03,Kırmızı,M,9,9.257354804468553
2024-01-04,Kırmızı,M,7,9.289643635609615
2024-01-05,Kırmızı,M,9,8.710046315886508
2024-01-06,Kırmızı,M,14,11.28552291381641
2024-01-07,Kırmızı,M,9,12.909696859586528
2024-01-08,Kırmızı,M,6,9.24211343566897
2024-01-09,Kırmızı,M,7,8.501614701161298
2024-01-10,Kırmızı,M,7,9.258140112936378
2024-01-11,Kırmızı,M,5,9.290428944075444
2024-01-12,Kırmızı,M,4,8.71083162435039
2024-01-13,Kırmızı,M,12,11.286308222270371
2024-01-14,Kırmızı,M,7,12.910482168049237
2024-01-15,Kırmızı,M,9,9.242898744131391
2024-01-16,Kırmızı,M,7,8.5024000096266
2024-01-17,Kırmızı,M,2,9.258925421400765
2024-01-18,Kırmızı,M,4,9.29121425253886
2024-01-19,Kırmızı,M,10,8.711616932814273
2024-01-20,Kırmızı,M,12,11.287093530737137
2024-01-21,Kırmızı,M,9,12.911267476515086
2024-01-22,Kırmızı,M,8,9.243684052593814
2024-01-23,Kırmızı,M,0,8.50318531809258
2024-01-24,Kırmızı,M,5,9.259710729862784
2024-01-25,Kırmızı,M,3,9.29199956100469
2024-01-26,Kırmızı,M,12,8.712402241280792
2024-01-27,Kırmızı,M,8,11.730002041604312
2024-01-28,Kırmızı,M,10,13.354175987378202
2024-01-29,Kırmızı,M,10,9.686592563470066
2024-01-30,Kırmızı,M,5,8.946093828958967
2024-01-31,Kırmızı,M,10,9.702619240729296
2024-02-01,Kırmızı,M,17,9.734908071869235
2024-02-02,Kırmızı,M,6,8.713187549747307
2024-02-03,Kırmızı,M,12,11.288664147673003
2024-02-04,Kırmızı,M,3,12.912838093447863
2024-02-05,Kırmızı,M,3,9.23764427073278
2024-02-06,Kırmızı,M,8,8.497145536224066
2024-02-07,Kırmızı,M,7,9.253670947995198
2024-02-08,Kırmızı,M,2,9.285959779134858
2024-02-09,Kırmızı,M,3,8.706362459408824
2024-02-10,Kırmızı,M,13,11.289449456142101
2024-02-11,Kırmızı,M,10,12.91362340191214
2024-02-12,Kırmızı,M,13,9.246039977994506
2024-02-13,Kırmızı,M,12,8.505541243489164
2024-02-14,Kırmızı,M,3,9.262066655259382
2024-02-15,Kırmızı,M,4,9.29435548639807
2024-02-16,Kırmızı,M,7,8.714758166672503
2024-02-17,Kırmızı,M,14,11.290234764608869
2024-02-18,Kırmızı,M,6,12.91440871037642
2024-02-19,Kırmızı,M,10,9.246825286457423
2024-02-20,Kırmızı,M,7,8.506326551951801
2024-02-21,Kırmızı,M,9,9.262851963723772
2024-02-22,Kırmızı,M,7,9.295140794863897
2024-02-23,Kırmızı,M,11,8.715543475141654
2024-02-24,Kırmızı,M,14,11.291020073075636
2024-02-25,Kırmızı,M,8,12.915194018846485
2024-02-26,Kırmızı,M,11,9.247610594919845
2024-02-27,Kırmızı,M,6,8.507111860417782
2024-02-28,Kırmızı,M,10,9.263637272187507
2024-02-29,Kırmızı,M,7,9.295926103327316
2024-03-01,Kırmızı,M,11,8.716328783605537
2024-03-02,Kırmızı,M,12,11.291805381529596
2024-03-03,Kırmızı,M,16,12.915979327310763
2024-03-04,Kırmızı,M,12,9.248395903382761
2024-03-05,Kırmızı,M,8,8.507897168882405
2024-03-06,Kırmızı,M,13,9.264422580655328
2024-03-07,Kırmızı,M,15,9.29671141179628
2024-03-08,Kırmızı,M,11,8.717114092072055
2024-03-09,Kırmızı,M,19,11.292590689998693
2024-03-10,Kırmızı,M,3,12.916764635773474
2024-03-11,Kırmızı,M,10,9.249181211845183
2024-03-12,Kırmızı,M,14,8.508682477348385
2024-03-13,Kırmızı,M,7,9.265207889119717
2024-03-14,Kırmızı,M,11,9.297496720259696
2024-03-15,Kırmızı,M,5,8.717899400535938
2024-03-16,Kırmızı,M,13,11.29337599846313
2024-03-17,Kırmızı,M,18,12.91754994423932
2024-03-18,Kırmızı,M,11,9.24996652032103
2024-03-19,Kırmızı,M,12,8.509467785813687
2024-03-20,Kırmızı,M,4,9.265993197584105
2024-03-21,Kırmızı,M,6,10.190138832326136
2024-03-22,Kırmızı,M,9,9.610541512603065
2024-03-23,Kırmızı,M,17,12.186018110520035
2024-03-24,Kırmızı,M,15,13.810192056302643
2024-03-25,Kırmızı,M,5,10.142608632384066
2024-03-26,Kırmızı,M,16,8.510253094279667
2024-03-27,Kırmızı,M,6,9.266778506050212
2024-03-28,Kırmızı,M,6,9.299067337186523
2024-03-29,Kırmızı,M,6,8.719470017463767
2024-03-30,Kırmızı,M,10,11.294946615383855
2024-03-31,Kırmızı,M,0,12.91912056116474
2024-04-01,Kırmızı,M,13,9.693660339646778
2024-04-02,Kırmızı,M,10,8.953161605142034
2024-04-03,Kırmızı,M,5,9.70968701691092
2024-04-04,Kırmızı,M,5,9.74197584805276
2024-04-05,Kırmızı,M,6,8.720255325930284
2024-04-06,Kırmızı,M,15,11.295731923852955
2024-04-07,Kırmızı,M,12,12.91990586962902
2024-04-08,Kırmızı,M,9,9.252322445708298
2024-04-09,Kırmızı,M,10,8.511823711206928
2024-04-10,Kırmızı,M,9,9.268349122978334
2024-04-11,Kırmızı,M,0,9.300637954118184
2024-04-12,Kırmızı,M,7,10.062631039197615
2024-04-13,Kırmızı,M,17,12.638107637120537
2024-04-14,Kırmızı,M,14,14.262281582898332
2024-04-15,Kırmızı,M,12,10.59469815897203
2024-04-16,Kırmızı,M,3,9.854199424473045
2024-04-17,Kırmızı,M,0,10.61072483624354
2024-04-18,Kırmızı,M,10,10.643013667382414
2024-04-19,Kırmızı,M,10,8.721825942858116
2024-04-20,Kırmızı,M,20,11.29730254078649
2024-04-21,Kırmızı,M,12,12.921476486563364
2024-04-22,Kırmızı,M,22,9.25389306263413
2024-04-23,Kırmızı,M,13,8.513394328138208
2024-04-24,Kırmızı,M,14,9.269919739908827
2024-04-25,Kırmızı,M,10,9.30220857105298
2024-04-26,Kırmızı,M,5,8.722611251321997
2024-04-27,Kırmızı,M,0,11.298087849253257
2024-04-28,Kırmızı,M,14,12.922261795026074
2024-04-29,Kırmızı,M,11,9.254678371109483
2024-04-30,Kırmızı,M,12,8.514179636600847
2024-05-01,Kırmızı,M,9,9.270705048374934
2024-05-02,Kırmızı,M,3,9.30299387951398
2024-05-03,Kırmızı,M,18,8.72339655979115
2024-05-04,Kırmızı,M,18,11.298873157722355
2024-05-05,Kırmızı,M,15,12.923047103490353
2024-05-06,Kırmızı,M,17,9.2554636795724
2024-05-07,Kırmızı,M,12,8.514964945066826
2024-05-08,Kırmızı,M,13,10.16334716044165
2024-05-09,Kırmızı,M,9,10.195635991580419
2024-05-10,Kırmızı,M,13,9.616038671855641
2024-05-11,Kırmızı,M,15,12.191515269776927
2024-05-12,Kırmızı,M,16,13.815689215555244
2024-05-13,Kırmızı,M,14,10.14810579163494
2024-05-14,Kırmızı,M,8,9.407607057132063
2024-05-15,Kırmızı,M,5,10.16413246890604
2024-05-16,Kırmızı,M,7,9.304564496446359
2024-05-17,Kırmızı,M,13,10.066557581519728
2024-05-18,Kırmızı,M,6,12.64203417944623
2024-05-19,Kırmızı,M,3,14.266208125219725
2024-05-20,Kırmızı,M,12,10.59862470129806
2024-05-21,Kırmızı,M,9,9.858125966798246
2024-05-22,Kırmızı,M,15,10.614651378568261
2024-05-23,Kırmızı,M,12,10.646940209713005
2024-05-24,Kırmızı,M,11,8.725752485188064
2024-05-25,Kırmızı,M,10,11.301229083109849
2024-05-26,Kırmızı,M,11,12.925403028888978
2024-05-27,Kırmızı,M,11,9.257819604973092
2024-05-28,Kırmızı,M,19,8.51732087046341
2024-05-29,Kırmızı,M,4,9.273846282231835
2024-05-30,Kırmızı,M,11,9.306135113375605
2024-05-31,Kırmızı,M,15,8.726537793651948
2024-06-01,Kırmızı,M,3,11.302014391578947
2024-06-02,Kırmızı,M,7,12.926188337353254
2024-06-03,Kırmızı,M,7,9.258604913436008
2024-06-04,Kırmızı,M,10,8.518106178928035
2024-06-05,Kırmızı,M,7,9.274631590699657
2024-06-06,Kırmızı,M,12,9.30692042183902
2024-06-07,Kırmızı,M,8,8.727323102113262
2024-06-08,Kırmızı,M,6,11.30279970004805
2024-06-09,Kırmızı,M,12,14.268564050616781
2024-06-10,Kırmızı,M,7,10.600980626699245
2024-06-11,Kırmızı,M,8,9.86048189219483
2024-06-12,Kırmızı,M,11,10.617007303962488
2024-06-13,Kırmızı,M,13,10.64929613510325
2024-06-14,Kırmızı,M,15,8.728108410577143
2024-06-15,Kırmızı,M,8,11.303585008512481
2024-06-16,Kırmızı,M,0,14.269349359082629
2024-06-17,Kırmızı,M,6,10.601765935161668
2024-06-18,Kırmızı,M,15,9.861267200657466
2024-06-19,Kırmızı,M,11,10.617792612428595
2024-06-20,Kırmızı,M,14,10.650081443569078
2024-06-21,Kırmızı,M,14,10.070484123844476
2024-06-22,Kırmızı,M,20,12.645960721782396
2024-06-23,Kırmızı,M,22,14.270134667551126
2024-06-24,Kırmızı,M,22,9.260960838823276
2024-06-25,Kırmızı,M,8,8.520462104322633
2024-06-26,Kırmızı,M,24,9.269377117292372
2024-06-27,Kırmızı,M,8,9.301665948429466
2024-06-28,Kırmızı,M,0,8.72206862871038
2024-06-29,Kırmızı,M,20,11.297545226633414
2024-06-30,Kırmızı,M,14,12.921719172414793
2024-07-01,Kırmızı,M,15,9.254135748486398
2024-07-02,Kırmızı,M,14,8.513637013988138
2024-07-03,Kırmızı,M,14,9.270162425756764
2024-07-04,Kırmızı,M,16,9.310061655700645
2024-07-05,Kırmızı,M,0,8.730464335976693
2024-07-06,Kırmızı,M,15,11.305940933902308
2024-07-07,Kırmızı,M,16,14.271705284478113
2024-07-08,Kırmızı,M,18,10.604121860548936
2024-07-09,Kırmızı,M,7,9.863623126050708
2024-07-10,Kırmızı,M,19,10.620148537825195
2024-07-11,Kırmızı,M,13,10.652437368964875
2024-07-12,Kırmızı,M,25,8.731249644440576
2024-07-13,Kırmızı,M,4,11.306726242369075
2024-07-14,Kırmızı,M,23,12.930900188140008
2024-07-15,Kırmızı,M,25,9.263316764224461
2024-07-16,Kırmızı,M,4,8.522818029715195
2024-07-17,Kırmızı,M,22,9.279343441488768
2024-07-18,Kırmızı,M,24,9.311632272629888
2024-07-19,Kırmızı,M,7,8.732034952909729
2024-07-20,Kırmızı,M,9,11.307511550823035
2024-07-21,Kırmızı,M,9,12.931685496605855
2024-07-22,Kırmızı,M,18,9.264102072686883
2024-07-23,Kırmızı,M,23,8.523603338181173
2024-07-24,Kırmızı,M,10,9.280128749954873
2024-07-25,Kırmızı,M,8,9.312417581095717
2024-07-26,Kırmızı,M,11,8.732820261368408
2024-07-27,Kırmızı,M,7,11.308296859289804
2024-07-28,Kırmızı,M,20,12.932470805068567
2024-07-29,Kırmızı,M,12,9.264887381149801
2024-07-30,Kırmızı,M,6,8.524388646646475
2024-07-31,Kırmızı,M,15,9.28091405841689
2024-08-01,Kırmızı,M,8,9.313202889556717
2024-08-02,Kırmızı,M,9,8.733605569837557
2024-08-03,Kırmızı,M,0,11.309082167758902
2024-08-04,Kırmızı,M,23,12.933256113532845
2024-08-05,Kırmızı,M,11,9.26567268961272
2024-08-06,Kırmızı,M,10,8.525173955112455
2024-08-07,Kırmızı,M,14,9.281699366882997
2024-08-08,Kırmızı,M,14,9.313988198022548
2024-08-09,Kırmızı,M,6,8.734390878301442
2024-08-10,Kırmızı,M,6,11.309867476225667
2024-08-11,Kırmızı,M,17,12.93404142200291
2024-08-12,Kırmızı,M,10,9.266457998087574
2024-08-13,Kırmızı,M,7,8.52595926357708
2024-08-14,Kırmızı,M,18,9.282484675347387
2024-08-15,Kırmızı,M,13,9.314773506485961
2024-08-16,Kırmızı,M,15,8.735176186762754
2024-08-17,Kırmızı,M,12,11.310652784694767
2024-08-18,Kırmızı,M,11,12.93482673046719
2024-08-19,Kırmızı,M,8,9.267243306549998
2024-08-20,Kırmızı,M,16,8.52674457204306
2024-08-21,Kırmızı,M,14,9.283269983813492
2024-08-22,Kırmızı,M,9,9.315558814954928
2024-08-23,Kırmızı,M,6,8.73596149522927
2024-08-24,Kırmızı,M,22,11.3114380931592
2024-08-25,Kırmızı,M,11,12.935612038929898
2024-08-26,Kırmızı,M,2,9.268028615012913
2024-08-27,Kırmızı,M,6,8.527529880505696
2024-08-28,Kırmızı,M,18,9.28405529227788
2024-08-29,Kırmızı,M,19,9.316344123418343
2024-08-30,Kırmızı,M,0,8.73674680369579
2024-08-31,Kırmızı,M,15,11.312223401628302
2024-09-01,Kırmızı,M,13,12.936397347394177
2024-09-02,Kırmızı,M,3,9.26881392347583
2024-09-03,Kırmızı,M,9,8.970438391371408
2024-09-04,Kırmızı,M,4,9.726963803146107
2024-09-05,Kırmızı,M,8,9.759252634282165
2024-09-06,Kırmızı,M,8,9.179655314560078
2024-09-07,Kırmızı,M,25,11.75513191248267
2024-09-08,Kırmızı,M,15,13.379305858264653
2024-09-09,Kırmızı,M,8,9.711722434338661
2024-09-10,Kırmızı,M,11,8.971223699836708
2024-09-11,Kırmızı,M,5,9.28562590921009
2024-09-12,Kırmızı,M,9,9.317914740350725
2024-09-13,Kırmızı,M,1,8.738317420623554
2024-09-14,Kırmızı,M,8,11.313794018549029
2024-09-15,Kırmızı,M,22,12.937967964330094
2024-09-16,Kırmızı,M,17,9.270384540400675
2024-09-17,Kırmızı,M,6,8.529885805902282
2024-09-18,Kırmızı,M,15,9.286411217672107
2024-09-19,Kırmızı,M,18,9.318700048816552
2024-09-20,Kırmızı,M,12,8.73910272909007
2024-09-21,Kırmızı,M,12,11.314579327015794
2024-09-22,Kırmızı,M,13,12.938753272792802
2024-09-23,Kırmızı,M,10,9.271169848876523
2024-09-24,Kırmızı,M,11,8.530671114368262
2024-09-25,Kırmızı,M,0,9.287196526138214
2024-09-26,Kırmızı,M,16,9.319485357277554
2024-09-27,Kırmızı,M,0,8.732277638756791
2024-09-28,Kırmızı,M,20,11.307754236685097
2024-09-29,Kırmızı,M,6,12.931928182457284
2024-09-30,Kırmızı,M,1,9.264344758539643
2024-10-01,Kırmızı,M,3,8.531456422833564
2024-10-02,Kırmızı,M,5,9.287981834604318
2024-10-03,Kırmızı,M,7,9.320270665743383
2024-10-04,Kırmızı,M,6,8.7406733460179
2024-10-05,Kırmızı,M,17,11.316149943953993
2024-10-06,Kırmızı,M,15,12.94032388971979
2024-10-07,Kırmızı,M,10,9.272740465801368
2024-10-08,Kırmızı,M,0,8.532241731298868
2024-10-09,Kırmızı,M,10,9.288767143066337
2024-10-10,Kırmızı,M,8,9.321055974206798
2024-10-11,Kırmızı,M,9,8.741458654481782
2024-10-12,Kırmızı,M,9,11.31693525240562
2024-10-13,Kırmızı,M,26,12.941109198184067
2024-10-14,Kırmızı,M,1,9.273525774264284
2024-10-15,Kırmızı,M,14,8.533027039761501
2024-10-16,Kırmızı,M,14,9.289552451532442
2024-10-17,Kırmızı,M,1,9.321841282672628
2024-10-18,Kırmızı,M,9,8.742243962950935
2024-10-19,Kırmızı,M,30,11.317720560870056
2024-10-20,Kırmızı,M,18,12.941894506654135
2024-10-21,Kırmızı,M,10,9.274311082726706
2024-10-22,Kırmızı,M,10,8.533812348226805
2024-10-23,Kırmızı,M,17,9.29033775999683
2024-10-24,Kırmızı,M,14,9.322626591136041
2024-10-25,Kırmızı,M,15,8.743029271414816
2024-10-26,Kırmızı,M,11,11.318505869339155
2024-10-27,Kırmızı,M,8,12.942679815118414
2024-10-28,Kırmızı,M,12,9.275096391189624
2024-10-29,Kırmızı,M,10,8.534597656692107
2024-10-30,Kırmızı,M,9,9.291123068464652
2024-10-31,Kırmızı,M,11,9.32341189960501
2024-11-01,Kırmızı,M,9,8.743814579881334
2024-11-02,Kırmızı,M,12,11.319291177808255
2024-11-03,Kırmızı,M,18,12.943465123581124
2024-11-04,Kırmızı,M,4,9.275881699652047
2024-11-05,Kırmızı,M,11,8.53538296515542
2024-11-06,Kırmızı,M,7,9.73403157932945
2024-11-07,Kırmızı,M,9,9.766320410468829
2024-11-08,Kırmızı,M,12,9.186723090743055
2024-11-09,Kırmızı,M,13,11.762199688675429
2024-11-10,Kırmızı,M,12,12.936640033247176
2024-11-11,Kırmızı,M,0,9.269056609328096
2024-11-12,Kırmızı,M,10,8.52855787482025
2024-11-13,Kırmızı,M,9,9.285083286593636
2024-11-14,Kırmızı,M,4,9.317372117734456
2024-11-15,Kırmızı,M,10,8.737774798009369
2024-11-16,Kırmızı,M,10,11.320861794731313
2024-11-17,Kırmızı,M,22,12.945035740509681
2024-11-18,Kırmızı,M,9,10.169309120190926
2024-11-19,Kırmızı,M,12,9.428810385686635
2024-11-20,Kırmızı,M,13,10.185335797460148
2024-11-21,Kırmızı,M,5,10.217624628595864
2024-11-22,Kırmızı,M,0,9.638027308876293
2024-11-23,Kırmızı,M,16,11.321647103195748
2024-11-24,Kırmızı,M,7,12.945821048972391
2024-11-25,Kırmızı,M,11,9.278237625052737
2024-11-26,Kırmızı,M,9,8.537738890551328
2024-11-27,Kırmızı,M,6,9.294264302319839
2024-11-28,Kırmızı,M,8,9.326553133461081
2024-11-29,Kırmızı,M,9,8.746955813742197
2024-11-30,Kırmızı,M,12,11.322432411664847
2024-12-01,Kırmızı,M,10,12.94660635743667
2024-12-02,Kırmızı,M,4,9.279022933528582
2024-12-03,Kırmızı,M,13,8.538524199016628
2024-12-04,Kırmızı,M,5,9.29504961078766
2024-12-05,Kırmızı,M,9,9.327338441927633
2024-12-06,Kırmızı,M,5,8.747741122206081
2024-12-07,Kırmızı,M,8,11.323217720131614
2024-12-08,Kırmızı,M,16,12.947391665905169
2024-12-09,Kırmızı,M,10,9.2798082419915
2024-12-10,Kırmızı,M,3,8.539309507481931
2024-12-11,Kırmızı,M,13,9.295834919252046
2024-12-12,Kırmızı,M,4,9.328123750393463
2024-12-13,Kırmızı,M,2,8.748526430667393
2024-12-14,Kırmızı,M,11,11.32400302859838
2024-12-15,Kırmızı,M,4,12.948176974371014
2024-12-16,Kırmızı,M,16,9.280593550453428
2024-12-17,Kırmızı,M,14,8.540094815947912
2024-12-18,Kırmızı,M,10,9.296620227718153
2024-12-19,Kırmızı,M,2,9.321298660059496
2024-12-20,Kırmızı,M,16,8.741701340331481
2024-12-21,Kırmızı,M,6,11.317177938265353
2024-12-22,Kırmızı,M,10,12.941351884035498
2024-12-23,Kırmızı,M,1,9.27376846011655
2024-12-24,Kırmızı,M,9,8.53326972561075
2024-12-25,Kırmızı,M,2,9.29740553618426
2024-12-26,Kırmızı,M,8,9.329694367320293
2024-12-27,Kırmızı,M,8,8.750097047600427
2024-12-28,Kırmızı,M,6,11.325573645534247
2024-12-29,Kırmızı,M,10,12.94974759130536
2024-12-30,Kırmızı,M,3,9.282164167379262
2024-12-31,Kırmızı,M,9,8.541665432876528
2024-01-01,Kırmızı,S,9,9.144171134066116
2024-01-02,Kırmızı,S,1,9.199564622301864
2024-01-03,Kırmızı,S,8,9.281176680046313
2024-01-04,Kırmızı,S,1,9.579663086246255
2024-01-05,Kırmızı,S,6,8.827209504830314
2024-01-06,Kırmızı,S,4,11.618183801612258
2024-01-07,Kırmızı,S,7,12.36847327461385
2024-01-08,Kırmızı,S,3,9.146252722583842
2024-01-09,Kırmızı,S,13,9.20164621081269
2024-01-10,Kırmızı,S,9,9.283258268557464
2024-01-11,Kırmızı,S,5,9.581744674757065
2024-01-12,Kırmızı,S,2,8.829291093338888
2024-01-13,Kırmızı,S,2,11.620265390113131
2024-01-14,Kırmızı,S,15,12.370554863119978
2024-01-15,Kırmızı,S,9,9.14833431109143
2024-01-16,Kırmızı,S,7,9.203727799323518
2024-01-17,Kırmızı,S,4,9.285339857067292
2024-01-18,Kırmızı,S,9,9.583826263265681
2024-01-19,Kırmızı,S,16,8.831372681847462
2024-01-20,Kırmızı,S,11,11.622346978624105
2024-01-21,Kırmızı,S,10,12.372636451632989
2024-01-22,Kırmızı,S,5,9.150415899599018
2024-01-23,Kırmızı,S,9,9.205809387833343
2024-01-24,Kırmızı,S,10,9.287421445575859
2024-01-25,Kırmızı,S,4,9.585907851776492
2024-01-26,Kırmızı,S,10,8.833454270359326
2024-01-27,Kırmızı,S,16,12.606235675070554
2024-01-28,Kırmızı,S,16,13.356525148074594
2024-01-29,Kırmızı,S,9,10.13430459605222
2024-01-30,Kırmızı,S,5,10.189698084278644
2024-01-31,Kırmızı,S,5,10.271310142021825
2024-02-01,Kırmızı,S,10,10.569796548221008
2024-02-02,Kırmızı,S,9,8.83553585887119
2024-02-03,Kırmızı,S,10,11.626510155649786
2024-02-04,Kırmızı,S,7,12.376799628655316
2024-02-05,Kırmızı,S,9,9.952139630594534
2024-02-06,Kırmızı,S,10,10.007533118821733
2024-02-07,Kırmızı,S,6,10.089145176564575
2024-02-08,Kırmızı,S,9,10.387631582764081
2024-02-09,Kırmızı,S,5,9.635178001344597
2024-02-10,Kırmızı,S,14,11.628591744164495
2024-02-11,Kırmızı,S,17,12.378881217164885
2024-02-12,Kırmızı,S,9,9.156660665131916
2024-02-13,Kırmızı,S,3,9.212054153364821
2024-02-14,Kırmızı,S,6,9.293666211106665
2024-02-15,Kırmızı,S,9,9.59215261730496
2024-02-16,Kırmızı,S,15,8.839699035885433
2024-02-17,Kırmızı,S,7,11.630673332675467
2024-02-18,Kırmızı,S,15,12.380962805674454
2024-02-19,Kırmızı,S,5,9.15874225364197
2024-02-20,Kırmızı,S,5,9.214135741872292
2024-02-21,Kırmızı,S,16,9.295747799616493
2024-02-22,Kırmızı,S,8,9.594234205815768
2024-02-23,Kırmızı,S,12,8.841780624400583
2024-02-24,Kırmızı,S,3,11.63275492118644
2024-02-25,Kırmızı,S,11,12.38304439419065
2024-02-26,Kırmızı,S,9,9.160823842149556
2024-02-27,Kırmızı,S,4,9.216217330382117
2024-02-28,Kırmızı,S,7,9.297829388125718
2024-02-29,Kırmızı,S,7,9.596315794324386
2024-03-01,Kırmızı,S,4,8.843862212909157
2024-03-02,Kırmızı,S,8,11.634836509687313
2024-03-03,Kırmızı,S,8,12.38512598270022
2024-03-04,Kırmızı,S,6,9.162905430659608
2024-03-05,Kırmızı,S,7,9.218298918893945
2024-03-06,Kırmızı,S,11,9.299910976636868
2024-03-07,Kırmızı,S,14,9.59839738283781
2024-03-08,Kırmızı,S,8,8.84594380142102
2024-03-09,Kırmızı,S,9,11.63691809820202
2024-03-10,Kırmızı,S,12,12.387207571206348
2024-03-11,Kırmızı,S,8,9.164987019167196
2024-03-12,Kırmızı,S,10,9.22038050740377
2024-03-13,Kırmızı,S,14,9.301992565146698
2024-03-14,Kırmızı,S,7,9.600478971346428
2024-03-15,Kırmızı,S,15,8.848025389929594
2024-03-16,Kırmızı,S,12,11.63899968670926
2024-03-17,Kırmızı,S,10,12.389289159719358
2024-03-18,Kırmızı,S,16,9.167068607684921
2024-03-19,Kırmızı,S,20,9.222462095914597
2024-03-20,Kırmızı,S,0,9.304074153656526
2024-03-21,Kırmızı,S,10,10.768614221760455
2024-03-22,Kırmızı,S,5,10.016160640344673
2024-03-23,Kırmızı,S,11,12.807134937117084
2024-03-24,Kırmızı,S,10,13.557424410128702
2024-03-25,Kırmızı,S,16,10.335203858095724
2024-03-26,Kırmızı,S,3,9.224543684424422
2024-03-27,Kırmızı,S,2,9.306155742167014
2024-03-28,Kırmızı,S,12,9.604642148363665
2024-03-29,Kırmızı,S,11,8.852188566947126
2024-03-30,Kırmızı,S,10,11.643162863721106
2024-03-31,Kırmızı,S,16,12.393452336731615
2024-04-01,Kırmızı,S,11,10.15303889263804
2024-04-02,Kırmızı,S,5,10.208432380868373
2024-04-03,Kırmızı,S,5,10.290044438610398
2024-04-04,Kırmızı,S,4,10.588530844809952
2024-04-05,Kırmızı,S,13,8.85427015545899
2024-04-06,Kırmızı,S,22,11.645244452235815
2024-04-07,Kırmızı,S,12,12.395533925241184
2024-04-08,Kırmızı,S,7,9.173313373207684
2024-04-09,Kırmızı,S,16,9.228706861443722
2024-04-10,Kırmızı,S,20,9.31031891918607
2024-04-11,Kırmızı,S,12,9.608805325385285
2024-04-12,Kırmızı,S,10,10.206651959841807
2024-04-13,Kırmızı,S,0,12.997626256617743
